ZIPCODE,NAME,total_pop,pct_white,pct_black,pct_native,pct_asian,pct_pacific_islander,pct_hispanic,pct_nonhispanic_white,hh_total,hh_less_than_10k,hh_10k_to_15k,hh_15k_to_25k,hh_25k_to_35k,hh_35k_to_50k,hh_50k_to_75k,hh_75k_to_100k,hh_100k_to_150k,hh_150k_to_200k,hh_200k_or_more,hh_median_income,hh_mean_income,pct_poc,zhvi,max_pfas,mean_pfas,total_detections,num_contaminants
08270,ZCTA5 08270,8362,91.3,7.5,2.4,1.8,0.0,11.6,77.1,3293,3.5,1.1,2.6,8.4,8.4,10.4,15.7,26.5,12.2,11.1,99592,111696,8.700000000000003,316567.8142293861,,,,
08302,ZCTA5 08302,47279,54.7,26.3,5.7,2.2,0.3,41.0,29.5,14806,4.4,3.9,8.2,10.8,10.8,18.3,11.6,18.3,7.3,6.4,65516,86408,45.3,249177.31264619203,0.0,0.0,0.0,20.0
08310,ZCTA5 08310,968,77.0,4.8,1.9,0.6,0.0,27.7,65.1,537,7.4,3.0,2.8,22.5,19.9,11.0,5.2,12.5,10.6,5.0,42442,130567,23.0,333689.8418709813,0.0,0.0,0.0,20.0
08311,ZCTA5 08311,1746,82.9,10.0,5.6,4.2,0.0,8.9,70.1,656,3.7,0.0,14.5,3.8,10.8,11.7,17.5,19.2,7.3,11.4,86324,103442,17.099999999999994,267036.9964362022,,,,
08312,ZCTA5 08312,8556,69.4,25.7,0.5,1.8,0.0,7.9,64.1,3288,5.4,4.4,4.0,3.0,6.1,18.2,12.9,26.1,13.8,6.2,89294,100737,30.599999999999994,314086.28148666973,0.0073,0.00028,5.0,20.0
08314,ZCTA5 08314,454,100.0,0.0,0.0,0.0,0.0,0.0,100.0,176,0.0,0.0,0.0,11.9,18.2,13.1,12.5,12.5,29.5,2.3,88077,103091,0.0,,,,,
08316,ZCTA5 08316,137,100.0,0.0,0.0,0.0,0.0,0.0,100.0,59,0.0,0.0,0.0,0.0,3.4,13.6,45.8,37.3,0.0,0.0,79306,85536,0.0,,,,,
08317,ZCTA5 08317,1246,88.4,9.9,5.5,1.4,0.0,11.2,69.3,500,0.0,0.0,8.6,0.0,3.0,15.4,15.6,32.2,20.6,4.6,106696,115319,11.599999999999994,339367.5148767855,,,,
08318,ZCTA5 08318,11961,89.9,9.1,1.1,1.7,0.5,8.8,78.3,4264,2.5,1.2,6.2,8.0,7.6,13.1,14.2,21.2,11.2,15.0,92558,114864,10.099999999999994,335929.0684929462,,,,
08319,ZCTA5 08319,1205,96.7,2.1,0.4,0.7,0.0,1.3,93.9,454,2.6,0.0,1.5,2.9,6.8,15.6,20.3,26.4,11.5,12.3,100278,116443,3.299999999999997,351884.6167567242,,,,
08320,ZCTA5 08320,1021,55.8,34.6,3.2,5.5,0.0,30.8,31.0,0,-,-,-,-,-,-,-,-,-,-,-,-,44.2,,,,,
08321,ZCTA5 08321,133,100.0,0.0,0.0,0.0,0.0,0.0,100.0,77,0.0,0.0,0.0,14.3,26.0,9.1,0.0,22.1,9.1,19.5,105074,158168,0.0,180269.77280341528,,,,
08322,ZCTA5 08322,10202,83.8,14.4,2.1,1.5,0.3,6.7,74.9,3543,2.2,1.7,5.6,3.8,4.0,8.7,11.6,25.9,20.2,16.2,121686,135601,16.200000000000003,359798.493378544,,,,
08323,ZCTA5 08323,731,92.9,6.2,1.2,0.5,0.0,12.0,83.2,313,4.5,3.8,3.8,4.8,6.7,24.6,11.5,22.4,7.7,10.2,83125,101505,7.099999999999994,298118.61084043543,,,,
08324,ZCTA5 08324,210,100.0,0.0,0.0,0.0,0.0,17.1,82.9,79,0.0,0.0,0.0,0.0,0.0,19.0,31.6,49.4,0.0,0.0,89950,91501,0.0,,,,,
08326,ZCTA5 08326,1435,79.7,2.0,1.3,0.0,0.0,25.1,71.7,529,4.7,0.0,2.1,4.7,18.0,13.0,11.5,16.1,27.4,2.5,79583,97497,20.299999999999997,292638.4699800495,0.0,0.0,0.0,20.0
08327,ZCTA5 08327,3408,36.2,44.8,1.3,0.7,0.0,25.5,30.4,275,13.1,12.7,4.0,3.6,7.3,10.5,17.1,8.4,10.5,12.7,61528,214303,63.8,276408.7340165006,0.0,0.0,0.0,20.0
08328,ZCTA5 08328,1476,90.5,9.5,0.0,0.0,0.0,0.0,90.5,537,1.3,0.0,0.0,0.0,19.7,19.9,7.3,37.4,9.1,5.2,101583,118189,9.5,306832.26759270584,,,,
08329,ZCTA5 08329,159,100.0,0.0,0.0,0.0,0.0,0.0,100.0,116,14.7,0.0,0.0,12.1,10.3,46.6,16.4,0.0,0.0,0.0,65694,53657,0.0,,,,,
08330,ZCTA5 08330,29972,70.2,23.2,4.3,6.0,0.1,14.9,57.0,11950,3.0,2.5,5.8,6.7,10.5,19.2,13.4,23.8,8.2,6.9,77167,97286,29.799999999999997,298877.68735536374,0.0052,4.208333333333333e-05,2.0,20.0
08332,ZCTA5 08332,35228,73.3,21.3,2.8,0.9,0.0,18.4,58.2,14771,8.8,2.9,8.5,7.8,8.9,17.8,14.2,14.4,7.9,8.8,67496,99219,26.700000000000003,250686.358926565,0.0048,7.625e-05,3.0,20.0
08340,ZCTA5 08340,725,100.0,0.0,0.0,0.0,0.0,0.0,100.0,308,0.0,0.0,8.1,5.2,1.6,38.0,20.1,12.3,4.2,10.4,62750,95122,0.0,388282.2203522624,,,,
08341,ZCTA5 08341,2101,74.4,2.9,1.2,14.4,0.0,41.6,40.4,874,7.2,4.6,12.9,8.0,5.3,17.0,18.9,14.1,3.0,9.0,68830,81452,25.599999999999994,294767.21971991385,0.0,0.0,0.0,20.0
08343,ZCTA5 08343,4729,90.4,4.4,0.5,0.8,0.0,5.4,88.9,1530,2.3,3.0,2.9,2.1,9.6,6.8,10.5,16.9,21.8,24.2,141842,163813,9.599999999999994,379454.2489960983,,,,
08344,ZCTA5 08344,5564,88.4,8.2,0.3,0.8,0.0,17.9,74.3,2002,1.2,1.3,4.8,8.7,7.9,19.3,13.9,21.5,8.1,13.1,85938,106752,11.599999999999994,308937.7519332024,,,,
08345,ZCTA5 08345,825,91.2,1.1,6.2,6.1,0.0,6.8,82.5,395,7.1,13.2,6.8,2.0,5.6,16.7,26.6,15.9,3.8,2.3,67250,70853,8.799999999999997,242782.29761864425,,,,
08346,ZCTA5 08346,283,50.2,49.8,0.0,20.8,0.0,0.0,29.3,134,0.0,0.0,0.0,0.0,29.1,14.2,44.0,12.7,0.0,0.0,80381,72767,49.8,314785.5671342018,,,,
08348,ZCTA5 08348,154,100.0,0.0,0.0,0.0,0.0,0.0,100.0,87,0.0,0.0,0.0,0.0,0.0,59.8,0.0,13.8,0.0,26.4,-,113660,0.0,,,,,
08349,ZCTA5 08349,2441,78.7,20.6,0.0,0.0,0.0,10.9,68.7,925,10.3,6.9,8.8,15.5,6.6,5.9,16.3,21.3,2.4,6.1,64861,96843,21.299999999999997,219424.76367880488,,,,
08350,ZCTA5 08350,639,89.4,10.6,4.1,0.0,0.0,25.8,59.5,225,0.0,0.0,0.0,10.7,0.0,7.6,6.7,15.1,49.8,10.2,158271,146616,10.599999999999994,325337.9591251912,,,,
08352,ZCTA5 08352,112,43.8,48.2,4.5,8.0,0.0,41.1,39.3,52,7.7,0.0,0.0,5.8,23.1,23.1,0.0,30.8,9.6,0.0,64688,83077,56.2,,,,,
08353,ZCTA5 08353,228,93.4,0.9,4.4,0.0,0.0,12.7,83.3,132,0.0,0.0,0.0,13.6,22.7,18.2,17.4,22.7,3.8,1.5,70625,81125,6.599999999999994,294402.33586918126,,,,
08360,ZCTA5 08360,45038,58.7,17.6,3.6,1.7,0.1,51.0,29.6,15716,4.6,5.4,7.8,8.4,12.8,20.1,11.9,15.5,7.5,5.9,65359,84622,41.3,281746.47129232547,0.0108,0.00035541125541125543,31.0,20.0
