ZIPCODE,max_pfas,mean_pfas,total_detections,num_contaminants,NAME,total_pop,pct_white,pct_black,pct_native,pct_asian,pct_pacific_islander,pct_hispanic,pct_nonhispanic_white,pct_minority
08861,0.019,0.002175,23,20,ZCTA5 08861,59351,36.9,11.8,3.6,3.4,0.2,81.6,8.8,91.2
08865,0.0,0.0,0,20,ZCTA5 08865,31427,80.6,15.8,1.6,3.1,0.3,13.3,67.9,32.099999999999994
08869,0.0075,0.00025416666666666665,19,20,ZCTA5 08869,8368,67.7,7.7,0.3,24.2,0.0,21.7,47.0,53.0
08872,0.0093,0.00042249999999999997,6,20,ZCTA5 08872,20204,54.9,15.7,1.4,18.7,0.4,18.4,45.7,54.3
08873,0.009,0.0005233333333333333,26,20,ZCTA5 08873,56327,37.5,30.9,1.2,21.8,0.2,20.1,27.3,72.7
08876,0.0075,0.00025416666666666665,19,20,ZCTA5 08876,23380,73.4,9.7,0.7,12.4,0.0,14.8,62.1,37.9
08879,0.0093,0.00025218749999999997,16,20,ZCTA5 08879,23556,74.9,17.0,1.0,7.2,0.1,24.8,55.7,44.3
08880,0.0075,0.00025416666666666665,19,20,ZCTA5 08880,4867,65.9,18.2,0.2,7.3,0.0,35.3,38.1,61.9
08882,0.0084,0.00036,8,20,ZCTA5 08882,16124,64.0,15.7,1.9,4.6,0.2,24.5,52.8,47.2
08884,0.0091,0.00071375,13,20,ZCTA5 08884,8187,86.2,3.3,1.1,7.5,0.1,15.0,74.3,25.700000000000003
08886,0.0,0.0,0,20,ZCTA5 08886,6435,81.8,9.1,0.2,10.6,0.4,14.6,67.8,32.2
08889,0.0075,0.00025416666666666665,19,20,ZCTA5 08889,10193,90.4,1.4,0.3,8.2,0.0,8.9,79.2,20.799999999999997
08901,0.0077,0.00081875,14,20,ZCTA5 08901,57263,37.6,15.2,10.7,9.1,0.1,53.9,23.6,76.4
08902,0.0,0.0,0,20,ZCTA5 08902,43932,35.8,23.9,0.8,23.3,0.1,29.0,25.7,74.3
08904,0.0054,6.75e-05,1,20,ZCTA5 08904,15121,64.2,4.6,1.7,22.9,0.0,15.8,55.1,44.9
