ZIPCODE,State,City,Metro,CountyName,zhvi
07422,NJ,Highland Lake,"New York-Newark-Jersey City, NY-NJ-PA",Sussex County,390513.1652709514
08554,NJ,Roebling,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Burlington County,302065.1813789001
08836,NJ,Bridgewater Township,"New York-Newark-Jersey City, NY-NJ-PA",Somerset County,847294.7943876218
08020,NJ,Clarksboro,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Gloucester County,415591.51643171953
07423,NJ,Ho Ho Kus,"New York-Newark-Jersey City, NY-NJ-PA",Bergen County,1171923.69301248
07720,NJ,Bradley Beach,"New York-Newark-Jersey City, NY-NJ-PA",Monmouth County,1022793.5462545538
08097,NJ,Woodbury Heights,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Gloucester County,337183.6426205253
07721,NJ,Cliffwood,"New York-Newark-Jersey City, NY-NJ-PA",Monmouth County,507596.26730598946
08560,NJ,Titusville,"Trenton-Princeton, NJ",Mercer County,656589.4604763394
07457,NJ,Riverdale,"New York-Newark-Jersey City, NY-NJ-PA",Morris County,462975.2650158188
07827,NJ,Montague Township,"New York-Newark-Jersey City, NY-NJ-PA",Sussex County,309708.7780864029
08735,NJ,Lavallette,"New York-Newark-Jersey City, NY-NJ-PA",Ocean County,1089230.62402847
07803,NJ,Mine Hill Township,"New York-Newark-Jersey City, NY-NJ-PA",Morris County,486123.5766984769
07848,NJ,Lafayette Township,"New York-Newark-Jersey City, NY-NJ-PA",Sussex County,461088.09475169494
07832,NJ,Columbia,"Allentown-Bethlehem-Easton, PA-NJ",Warren County,442106.31436208566
07927,NJ,Cedar Knolls,"New York-Newark-Jersey City, NY-NJ-PA",Morris County,727207.777954474
08802,NJ,Asbury,"New York-Newark-Jersey City, NY-NJ-PA",Hunterdon County,567791.2173619528
07758,NJ,Port Monmouth,"New York-Newark-Jersey City, NY-NJ-PA",Monmouth County,576047.2169320313
07838,NJ,Great Meadows,"Allentown-Bethlehem-Easton, PA-NJ",Warren County,468430.8275859321
07088,NJ,Union,"New York-Newark-Jersey City, NY-NJ-PA",Union County,474874.1179818216
08741,NJ,Pine Beach,"New York-Newark-Jersey City, NY-NJ-PA",Ocean County,540437.0958719641
08751,NJ,Seaside Heights,"New York-Newark-Jersey City, NY-NJ-PA",Ocean County,669099.7926638586
08750,NJ,Sea Girt,"New York-Newark-Jersey City, NY-NJ-PA",Monmouth County,2157729.2925661337
08829,NJ,High Bridge,"New York-Newark-Jersey City, NY-NJ-PA",Hunterdon County,427078.8838691849
08804,NJ,Bloomsbury,"New York-Newark-Jersey City, NY-NJ-PA",Hunterdon County,477166.8519543244
08092,NJ,West Creek,"New York-Newark-Jersey City, NY-NJ-PA",Ocean County,497244.21543533006
07946,NJ,Millington,"New York-Newark-Jersey City, NY-NJ-PA",Morris County,840061.3051411115
07857,NJ,Netcong,"New York-Newark-Jersey City, NY-NJ-PA",Morris County,475952.0932097845
07077,NJ,Sewaren,"New York-Newark-Jersey City, NY-NJ-PA",Middlesex County,491163.757486497
07641,NJ,Haworth,"New York-Newark-Jersey City, NY-NJ-PA",Bergen County,1063769.4366780396
07750,NJ,Monmouth Beach,"New York-Newark-Jersey City, NY-NJ-PA",Monmouth County,1051440.0169341085
08063,NJ,National Park,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Gloucester County,269023.3189411541
07756,NJ,Neptune Township,"New York-Newark-Jersey City, NY-NJ-PA",Monmouth County,872860.2599466437
08045,NJ,Lawnside,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Camden County,285132.32843595
07933,NJ,Gillette,"New York-Newark-Jersey City, NY-NJ-PA",Morris County,738371.0327576841
08243,NJ,Sea Isle City,"Ocean City, NJ",Cape May County,1371425.9129575056
08310,NJ,Buena,"Atlantic City-Hammonton, NJ",Atlantic County,333689.8418709813
07852,NJ,Ledgewood,"New York-Newark-Jersey City, NY-NJ-PA",Morris County,516836.6932325119
08733,NJ,Whiting,"New York-Newark-Jersey City, NY-NJ-PA",Ocean County,370434.432719264
08349,NJ,Port Norris,"Vineland-Bridgeton, NJ",Cumberland County,219424.76367880488
07980,NJ,Stirling,"New York-Newark-Jersey City, NY-NJ-PA",Morris County,716788.0463037208
07435,NJ,Newfoundland,"New York-Newark-Jersey City, NY-NJ-PA",Morris County,592423.9136233157
08752,NJ,Seaside Park,"New York-Newark-Jersey City, NY-NJ-PA",Ocean County,824585.0657848233
08026,NJ,Gibbsboro,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Camden County,360032.37637446844
08311,NJ,Cedarville,"Vineland-Bridgeton, NJ",Cumberland County,267036.9964362022
07737,NJ,Leonardo,"New York-Newark-Jersey City, NY-NJ-PA",Monmouth County,596715.6977294125
08828,NJ,Helmetta,"New York-Newark-Jersey City, NY-NJ-PA",Middlesex County,416055.3383209523
07021,NJ,Essex Fells,"New York-Newark-Jersey City, NY-NJ-PA",Essex County,1306684.2017867218
07439,NJ,Ogdensburg,"New York-Newark-Jersey City, NY-NJ-PA",Sussex County,414396.07352018263
07865,NJ,Port Murray,"New York-Newark-Jersey City, NY-NJ-PA",Hunterdon County,486738.4377307266
07074,NJ,Moonachie,"New York-Newark-Jersey City, NY-NJ-PA",Bergen County,632876.0671271066
08061,NJ,Mount Royal,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Gloucester County,431690.15055410826
08732,NJ,Island Heights,"New York-Newark-Jersey City, NY-NJ-PA",Ocean County,618490.1846854346
07606,NJ,South Hackensack,"New York-Newark-Jersey City, NY-NJ-PA",Bergen County,674894.9049520002
07717,NJ,Avon by the Sea,"New York-Newark-Jersey City, NY-NJ-PA",Monmouth County,1664548.0168314166
07418,NJ,Glenwood,"New York-Newark-Jersey City, NY-NJ-PA",Sussex County,439152.6950962005
08067,NJ,Pedricktown,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Salem County,332202.87212317326
08202,NJ,Avalon,"Ocean City, NJ",Cape May County,2676191.221614633
