ZIPCODE,State,City,Metro,CountyName,zhvi
07112,NJ,Newark,"New York-Newark-Jersey City, NY-NJ-PA",Essex County,489189.82179792575
07206,NJ,Elizabeth,"New York-Newark-Jersey City, NY-NJ-PA",Union County,479236.2518934855
08105,NJ,Camden,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Camden County,181008.87871632943
07652,NJ,Paramus,"New York-Newark-Jersey City, NY-NJ-PA",Bergen County,969359.4971426488
07006,NJ,West Caldwell,"New York-Newark-Jersey City, NY-NJ-PA",Essex County,807492.0629393406
08619,NJ,Trenton,"Trenton-Princeton, NJ",Mercer County,425307.959205993
07860,NJ,Newton,"New York-Newark-Jersey City, NY-NJ-PA",Sussex County,428452.0873772923
08205,NJ,Galloway,"Atlantic City-Hammonton, NJ",Atlantic County,320513.95867871377
07424,NJ,Woodland Park,"New York-Newark-Jersey City, NY-NJ-PA",Passaic County,605107.6300266897
07869,NJ,Randolph,"New York-Newark-Jersey City, NY-NJ-PA",Morris County,773728.6417659017
07450,NJ,Ridgewood,"New York-Newark-Jersey City, NY-NJ-PA",Bergen County,1111882.8081352434
07644,NJ,Lodi,"New York-Newark-Jersey City, NY-NJ-PA",Bergen County,582219.029041381
07430,NJ,Mahwah Township,"New York-Newark-Jersey City, NY-NJ-PA",Bergen County,671620.8418929505
07010,NJ,Cliffside Park,"New York-Newark-Jersey City, NY-NJ-PA",Bergen County,606978.1962323772
08060,NJ,Mt Holly Township,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Burlington County,394907.8229274272
07076,NJ,Scotch Plains,"New York-Newark-Jersey City, NY-NJ-PA",Union County,773255.6620502978
08742,NJ,Point Pleasant,"New York-Newark-Jersey City, NY-NJ-PA",Ocean County,777124.0488333179
07008,NJ,Carteret,"New York-Newark-Jersey City, NY-NJ-PA",Middlesex County,523086.60427457985
